cellules exporté sur '23/11/2014' 10:16.
 De '01/01/2013' à 31/12/2013.
Lot: BOX VACHES VMS

Numéro de l'animal	Production quotidienne	Cons. en concentrés	Date	Jours en lactation	Lactation
8941	29,10	6,0	01/01/2013	161	2
8933	27,75	5,0	01/01/2013	216	2
3500			01/01/2013		
8959	11,94	2,7	01/01/2013	113	2
3138	22,97	4,6	01/01/2013	58	2
3514			01/01/2013		
4994			01/01/2013		
3509			01/01/2013		
3129	31,33	5,8	01/01/2013	66	2
5004			01/01/2013		
4977			01/01/2013		
3227			01/01/2013		
8932	18,64	2,7	01/01/2013	387	2
3505			01/01/2013		
3532			01/01/2013		
4978	18,83	3,7	01/01/2013	59	1
1			01/01/2013		
3517			01/01/2013		
8936	27,22	6,1	01/01/2013	100	3
14			01/01/2013		
3216			01/01/2013		
3536			01/01/2013		
4990			01/01/2013		
17			01/01/2013		
9			01/01/2013		
8970	28,58	5,7	01/01/2013	44	2
3166	19,29	2,7	01/01/2013	242	1
3541			01/01/2013		
3524			01/01/2013		
4971	18,95	3,2	01/01/2013	67	1
8946	20,82	3,8	01/01/2013	128	3
3495			01/01/2013		
3504			01/01/2013		
4997			01/01/2013		
7			01/01/2013		
3140	15,85	2,4	01/01/2013	451	1
3133	20,95	4,7	01/01/2013	89	2
4965	36,62	6,5	01/01/2013	37	1
8949	34,59	7,1	01/01/2013	100	3
3537			01/01/2013		
3230			01/01/2013		
3507			01/01/2013		
3230			02/01/2013		
8959	23,70	7,2	02/01/2013	114	2
8936	27,57	6,1	02/01/2013	101	3
3524			02/01/2013		
3138	22,97	4,6	02/01/2013	59	2
7			02/01/2013		
1			02/01/2013		
3495			02/01/2013		
17			02/01/2013		
4977			02/01/2013		
3166	16,13	2,3	02/01/2013	243	1
5004			02/01/2013		
3504			02/01/2013		
8970	34,58	6,7	02/01/2013	45	2
3532			02/01/2013		
8932	16,32	2,4	02/01/2013	388	2
8946	22,68	4,2	02/01/2013	129	3
3507			02/01/2013		
3227			02/01/2013		
4971	16,73	2,8	02/01/2013	68	1
9			02/01/2013		
3505			02/01/2013		
4997			02/01/2013		
3140	16,28	2,5	02/01/2013	452	1
4990			02/01/2013		
4994			02/01/2013		
3541			02/01/2013		
4965	24,73	4,6	02/01/2013	38	1
3216			02/01/2013		
3509			02/01/2013		
8949	22,05	4,9	02/01/2013	101	3
4978	32,60	6,2	02/01/2013	60	1
14			02/01/2013		
3133	18,16	4,1	02/01/2013	90	2
3517			02/01/2013		
3514			02/01/2013		
3536			02/01/2013		
3129	24,76	4,8	02/01/2013	67	2
8941	28,36	6,2	02/01/2013	162	2
8933	31,86	5,8	02/01/2013	217	2
3537			02/01/2013		
3500			02/01/2013		
3129	22,94	4,4	03/01/2013	68	2
14			03/01/2013		
3138	27,75	6,0	03/01/2013	60	2
3227			03/01/2013		
7			03/01/2013		
8946	21,03	3,8	03/01/2013	130	3
17			03/01/2013		
4997			03/01/2013		
3216			03/01/2013		
3507			03/01/2013		
1			03/01/2013		
8936	26,87	6,2	03/01/2013	102	3
4990			03/01/2013		
8949	28,42	6,2	03/01/2013	102	3
3532			03/01/2013		
3133	28,35	6,3	03/01/2013	91	2
3514			03/01/2013		
3504			03/01/2013		
3541			03/01/2013		
3230			03/01/2013		
4978	20,43	3,8	03/01/2013	61	1
5004			03/01/2013		
3524			03/01/2013		
3140	17,42	2,6	03/01/2013	453	1
8941	28,13	5,9	03/01/2013	163	2
9			03/01/2013		
3495			03/01/2013		
3536			03/01/2013		
3509			03/01/2013		
8959	14,21	3,2	03/01/2013	115	2
4977			03/01/2013		
8933	25,46	4,5	03/01/2013	218	2
3166	23,32	2,9	03/01/2013	244	1
3537			03/01/2013		
8970	25,25	4,7	03/01/2013	46	2
3505			03/01/2013		
4971	19,94	3,3	03/01/2013	69	1
4965	22,86	3,8	03/01/2013	39	1
4994			03/01/2013		
3500			03/01/2013		
3517			03/01/2013		
8932	19,04	2,6	03/01/2013	389	2
4965	32,73	5,6	04/01/2013	40	1
3536			04/01/2013		
3500			04/01/2013		
3166	18,54	2,5	04/01/2013	245	1
3129	32,77	5,8	04/01/2013	69	2
14			04/01/2013		
4997			04/01/2013		
3138	33,91	4,9	04/01/2013	61	2
3532			04/01/2013		
8941	32,85	6,7	04/01/2013	164	2
3504			04/01/2013		
4990			04/01/2013		
4977			04/01/2013		
3495			04/01/2013		
8970	37,39	6,8	04/01/2013	47	2
3517			04/01/2013		
8932	17,32	2,5	04/01/2013	390	2
4994	1,50	0,8	04/01/2013	0	1
3514			04/01/2013		
3537			04/01/2013		
8936	28,56	6,5	04/01/2013	103	3
3230			04/01/2013		
5004			04/01/2013		
8933	27,89	5,1	04/01/2013	219	2
17			04/01/2013		
3133	16,53	3,9	04/01/2013	92	2
4978	30,37	6,2	04/01/2013	62	1
3507			04/01/2013		
9			04/01/2013		
8946	22,48	4,0	04/01/2013	131	3
3140	11,52	1,7	04/01/2013	454	1
3509			04/01/2013		
1			04/01/2013		
8959	28,01	7,2	04/01/2013	116	2
3541			04/01/2013		
3216			04/01/2013		
3505			04/01/2013		
3524			04/01/2013		
7			04/01/2013		
8949	28,17	5,8	04/01/2013	103	3
3227			04/01/2013		
4971	16,45	2,7	04/01/2013	70	1
5004			05/01/2013		
8932	16,90	2,5	05/01/2013	391	2
3524			05/01/2013		
7			05/01/2013		
14			05/01/2013		
3505			05/01/2013		
3140	16,23	2,6	05/01/2013	455	1
3133	28,32	6,2	05/01/2013	93	2
8946	17,48	3,3	05/01/2013	132	3
3514			05/01/2013		
8933	29,15	5,4	05/01/2013	220	2
17			05/01/2013		
8936	24,49	5,5	05/01/2013	104	3
3507			05/01/2013		
3541			05/01/2013		
3532			05/01/2013		
3230			05/01/2013		
3129	27,14	5,0	05/01/2013	70	2
8970	34,85	6,4	05/01/2013	48	2
4997			05/01/2013		
4977			05/01/2013		
3495			05/01/2013		
3216			05/01/2013		
3504			05/01/2013		
8949	29,65	5,9	05/01/2013	104	3
8959	20,02	5,1	05/01/2013	117	2
3536			05/01/2013		
8941	23,77	4,8	05/01/2013	165	2
4965	28,77	4,9	05/01/2013	41	1
4990			05/01/2013		
4994	4,16	1,9	05/01/2013	1	1
3227			05/01/2013		
4978	26,95	5,2	05/01/2013	63	1
9			05/01/2013		
3166	18,30	2,4	05/01/2013	246	1
3537			05/01/2013		
4971	18,49	2,9	05/01/2013	71	1
3517			05/01/2013		
3509			05/01/2013		
3500			05/01/2013		
3138	20,65	4,0	05/01/2013	62	2
1			05/01/2013		
3133	17,37	3,8	06/01/2013	94	2
4977			06/01/2013		
3129	21,58	4,1	06/01/2013	71	2
3509			06/01/2013		
3536			06/01/2013		
3505			06/01/2013		
3500			06/01/2013		
4994	4,51	2,5	06/01/2013	2	1
4971	18,29	3,0	06/01/2013	72	1
3138	35,00	5,9	06/01/2013	63	2
7			06/01/2013		
4990			06/01/2013		
8932	17,78	2,6	06/01/2013	392	2
3514			06/01/2013		
3517			06/01/2013		
3507			06/01/2013		
5004			06/01/2013		
3532			06/01/2013		
1			06/01/2013		
3216			06/01/2013		
17			06/01/2013		
3227			06/01/2013		
8946	19,07	3,4	06/01/2013	133	3
8936	27,09	6,0	06/01/2013	105	3
8933	27,05	5,0	06/01/2013	221	2
8949	33,48	7,0	06/01/2013	105	3
3140	14,98	2,4	06/01/2013	456	1
3524			06/01/2013		
4965	34,70	5,8	06/01/2013	42	1
3541			06/01/2013		
3495			06/01/2013		
3166	16,71	2,1	06/01/2013	247	1
14			06/01/2013		
8959	14,02	2,9	06/01/2013	118	2
3504			06/01/2013		
8941	33,97	7,1	06/01/2013	166	2
4978	23,40	5,2	06/01/2013	64	1
3230			06/01/2013		
4997			06/01/2013		
3537			06/01/2013		
8970	22,59	4,8	06/01/2013	49	2
9			06/01/2013		
3166	22,07	2,8	07/01/2013	248	1
3500			07/01/2013		
3509			07/01/2013		
8941	28,62	6,0	07/01/2013	167	2
3138	24,83	4,7	07/01/2013	64	2
9			07/01/2013		
1			07/01/2013		
3129	24,15	4,7	07/01/2013	72	2
8959	11,41	2,0	07/01/2013	119	2
3507			07/01/2013		
8936	26,50	6,1	07/01/2013	106	3
8933	22,65	4,2	07/01/2013	222	2
7			07/01/2013		
3524			07/01/2013		
3537			07/01/2013		
3227			07/01/2013		
3495			07/01/2013		
17			07/01/2013		
3230			07/01/2013		
3505			07/01/2013		
3536			07/01/2013		
14			07/01/2013		
4990			07/01/2013		
4997			07/01/2013		
3514			07/01/2013		
8932	18,01	2,7	07/01/2013	393	2
3216			07/01/2013		
8970	40,87	7,0	07/01/2013	50	2
8946	25,75	4,6	07/01/2013	134	3
4978	16,25	2,9	07/01/2013	65	1
4965	28,15	5,0	07/01/2013	43	1
3532			07/01/2013		
3504			07/01/2013		
3140	16,47	2,5	07/01/2013	457	1
4977			07/01/2013		
3517			07/01/2013		
4994	1,84	3,0	07/01/2013	3	1
8949	25,72	5,1	07/01/2013	106	3
3541			07/01/2013		
5004			07/01/2013		
3133	16,26	4,1	07/01/2013	95	2
4971	18,60	3,1	07/01/2013	73	1
4994	6,50	3,3	08/01/2013	4	1
8932	14,64	2,2	08/01/2013	394	2
3140	19,64	3,1	08/01/2013	458	1
3517			08/01/2013		
14			08/01/2013		
8936	25,49	5,7	08/01/2013	107	3
3532			08/01/2013		
3524			08/01/2013		
1			08/01/2013		
3509			08/01/2013		
17			08/01/2013		
4971	17,54	3,1	08/01/2013	74	1
8946	23,53	4,4	08/01/2013	135	3
8970	31,09	5,9	08/01/2013	51	2
5004			08/01/2013		
4990			08/01/2013		
8933	27,06	5,1	08/01/2013	223	2
3507			08/01/2013		
3537			08/01/2013		
3216			08/01/2013		
3505			08/01/2013		
3500			08/01/2013		
3536			08/01/2013		
4965	26,30	4,9	08/01/2013	44	1
4997			08/01/2013		
3514			08/01/2013		
4977			08/01/2013		
3230			08/01/2013		
3541			08/01/2013		
8959	28,28	4,9	08/01/2013	120	2
4978	29,20	5,4	08/01/2013	66	1
3495			08/01/2013		
3133	28,14	5,8	08/01/2013	96	2
3166	18,33	2,4	08/01/2013	249	1
3504			08/01/2013		
9			08/01/2013		
7			08/01/2013		
3138	22,45	3,9	08/01/2013	65	2
8941	24,91	5,3	08/01/2013	168	2
8949	28,58	6,8	08/01/2013	107	3
3129	25,90	5,4	08/01/2013	73	2
3227			08/01/2013		
3505			09/01/2013		
3541			09/01/2013		
8941	27,40	6,0	09/01/2013	169	2
3524			09/01/2013		
3509			09/01/2013		
4997			09/01/2013		
3500			09/01/2013		
3216			09/01/2013		
3129	29,82	6,0	09/01/2013	74	2
8932	18,13	2,6	09/01/2013	395	2
3138	31,04	5,4	09/01/2013	66	2
17			09/01/2013		
3507			09/01/2013		
8946	21,84	4,0	09/01/2013	136	3
3495			09/01/2013		
3517			09/01/2013		
8959	22,96	4,1	09/01/2013	121	2
7			09/01/2013		
4978	26,13	5,0	09/01/2013	67	1
8936	27,28	6,1	09/01/2013	108	3
4994	8,54	4,1	09/01/2013	5	1
5004			09/01/2013		
3504			09/01/2013		
4965	20,66	3,4	09/01/2013	45	1
3537			09/01/2013		
3166	17,48	2,3	09/01/2013	250	1
3230			09/01/2013		
3514			09/01/2013		
4971	16,73	2,9	09/01/2013	75	1
3133	20,86	4,2	09/01/2013	97	2
8970	26,59	5,1	09/01/2013	52	2
8933	26,23	4,8	09/01/2013	224	2
14			09/01/2013		
4990			09/01/2013		
3140	15,54	2,5	09/01/2013	459	1
1			09/01/2013		
8949	25,04	5,2	09/01/2013	108	3
4977			09/01/2013		
3536			09/01/2013		
3532			09/01/2013		
9			09/01/2013		
3227			09/01/2013		
9			10/01/2013		
3505			10/01/2013		
14			10/01/2013		
3504			10/01/2013		
4990			10/01/2013		
3495			10/01/2013		
3140	17,47	2,6	10/01/2013	460	1
5004			10/01/2013		
3230			10/01/2013		
7			10/01/2013		
3133	23,96	5,3	10/01/2013	98	2
1			10/01/2013		
4965	36,24	6,3	10/01/2013	46	1
3129	24,37	4,6	10/01/2013	75	2
3227			10/01/2013		
3514			10/01/2013		
8946	23,58	4,2	10/01/2013	137	3
17			10/01/2013		
8932	15,27	2,2	10/01/2013	396	2
3138	27,01	4,6	10/01/2013	67	2
3216			10/01/2013		
4978	22,58	4,3	10/01/2013	68	1
8970	34,09	6,6	10/01/2013	53	2
3517			10/01/2013		
3532			10/01/2013		
3166	18,27	2,5	10/01/2013	251	1
8959	16,97	3,1	10/01/2013	122	2
3536			10/01/2013		
4994	10,98	4,2	10/01/2013	6	1
4997			10/01/2013		
3500			10/01/2013		
8933	23,15	4,4	10/01/2013	225	2
4971	18,01	3,0	10/01/2013	76	1
3507			10/01/2013		
8941	27,33	5,8	10/01/2013	170	2
8936	24,91	5,7	10/01/2013	109	3
3541			10/01/2013		
3509			10/01/2013		
4977			10/01/2013		
8949	29,33	5,9	10/01/2013	109	3
3537			10/01/2013		
3524			10/01/2013		
14			11/01/2013		
3536			11/01/2013		
3507			11/01/2013		
8932	19,50	2,8	11/01/2013	397	2
3495			11/01/2013		
8933	35,81	6,5	11/01/2013	226	2
3514			11/01/2013		
8949	29,25	6,3	11/01/2013	110	3
3500			11/01/2013		
3230			11/01/2013		
3138	29,29	5,2	11/01/2013	68	2
8959	35,17	5,3	11/01/2013	123	2
8941	32,35	6,9	11/01/2013	171	2
4977			11/01/2013		
3509			11/01/2013		
4971	16,89	2,9	11/01/2013	77	1
4994	13,19	4,8	11/01/2013	7	1
3537			11/01/2013		
9			11/01/2013		
3517			11/01/2013		
3532			11/01/2013		
3129	26,40	5,1	11/01/2013	76	2
17			11/01/2013		
8970	28,08	5,4	11/01/2013	54	2
3216			11/01/2013		
4965	22,66	4,3	11/01/2013	47	1
3227			11/01/2013		
4978	30,70	5,6	11/01/2013	69	1
7			11/01/2013		
3541			11/01/2013		
3504			11/01/2013		
3505			11/01/2013		
3166	14,87	1,9	11/01/2013	252	1
3133	22,46	5,0	11/01/2013	99	2
8936	28,53	6,2	11/01/2013	110	3
4997			11/01/2013		
5004			11/01/2013		
3140	10,72	2,6	11/01/2013	461	1
4990			11/01/2013		
3524			11/01/2013		
1			11/01/2013		
8946	18,31	3,3	11/01/2013	138	3
8941	4,31	0,3	12/01/2013	172	2
3495			12/01/2013		
3140	18,02	2,0	12/01/2013	462	1
4977			12/01/2013		
8946	22,91	4,0	12/01/2013	139	3
3133	26,04	5,8	12/01/2013	100	2
3166	22,79	2,8	12/01/2013	253	1
4971	17,63	2,9	12/01/2013	78	1
5004			12/01/2013		
8970	38,98	7,5	12/01/2013	55	2
3230			12/01/2013		
3216			12/01/2013		
7			12/01/2013		
3500			12/01/2013		
3536			12/01/2013		
3227			12/01/2013		
3524			12/01/2013		
17			12/01/2013		
3514			12/01/2013		
3541			12/01/2013		
4990			12/01/2013		
4997			12/01/2013		
3507			12/01/2013		
1			12/01/2013		
8949	32,34	6,6	12/01/2013	111	3
3129	23,28	4,3	12/01/2013	77	2
8936	25,25	6,0	12/01/2013	111	3
4994	16,88	5,6	12/01/2013	8	1
9			12/01/2013		
8933	24,42	4,3	12/01/2013	227	2
3537			12/01/2013		
4965	31,16	5,6	12/01/2013	48	1
14			12/01/2013		
3505			12/01/2013		
3504			12/01/2013		
4978	20,49	4,1	12/01/2013	70	1
3517			12/01/2013		
3138	27,81	5,4	12/01/2013	69	2
3532			12/01/2013		
8959	15,71	2,7	12/01/2013	124	2
8932	18,74	2,5	12/01/2013	398	2
3509			12/01/2013		
4997			13/01/2013		
3230			13/01/2013		
8946	26,40	4,7	13/01/2013	140	3
8932	19,22	2,6	13/01/2013	399	2
3495			13/01/2013		
4971	23,07	3,8	13/01/2013	79	1
3514			13/01/2013		
1			13/01/2013		
3517			13/01/2013		
3227			13/01/2013		
17			13/01/2013		
8941			13/01/2013	173	2
3138	33,04	5,8	13/01/2013	70	2
4978	25,84	5,7	13/01/2013	71	1
5004			13/01/2013		
3216			13/01/2013		
3140	14,52	2,2	13/01/2013	463	1
9			13/01/2013		
3509			13/01/2013		
14			13/01/2013		
3537			13/01/2013		
3536			13/01/2013		
3500			13/01/2013		
8949	24,54	5,1	13/01/2013	112	3
3133	23,54	5,2	13/01/2013	101	2
3504			13/01/2013		
3541			13/01/2013		
3507			13/01/2013		
4965	26,97	4,7	13/01/2013	49	1
4977			13/01/2013		
4990			13/01/2013		
8936	25,27	5,7	13/01/2013	112	3
8933	27,43	5,1	13/01/2013	228	2
3166	22,25	2,9	13/01/2013	254	1
3505			13/01/2013		
8970	22,68	5,8	13/01/2013	56	2
8959	31,67	5,2	13/01/2013	125	2
4994	16,14	4,6	13/01/2013	9	1
3129	24,39	4,8	13/01/2013	78	2
3524			13/01/2013		
7			13/01/2013		
3532			13/01/2013		
4990			14/01/2013		
5004			14/01/2013		
17			14/01/2013		
3517			14/01/2013		
9			14/01/2013		
8959	15,59	2,6	14/01/2013	126	2
4994	14,08	3,9	14/01/2013	10	1
3532			14/01/2013		
8932	16,61	2,3	14/01/2013	400	2
7			14/01/2013		
14			14/01/2013		
8949	28,51	6,0	14/01/2013	113	3
3536			14/01/2013		
4971	14,41	2,3	14/01/2013	80	1
4965	31,61	5,5	14/01/2013	50	1
3509			14/01/2013		
3500			14/01/2013		
3138	25,96	4,5	14/01/2013	71	2
3537			14/01/2013		
3524			14/01/2013		
3505			14/01/2013		
3140	21,17	3,1	14/01/2013	464	1
3541			14/01/2013		
1			14/01/2013		
3507			14/01/2013		
8941			14/01/2013	174	2
3504			14/01/2013		
3495			14/01/2013		
3227			14/01/2013		
3166	20,19	2,6	14/01/2013	255	1
8970	31,69	4,9	14/01/2013	57	2
3230			14/01/2013		
3514			14/01/2013		
8936	27,14	6,0	14/01/2013	113	3
4997			14/01/2013		
4978	30,99	5,6	14/01/2013	72	1
3133	21,42	4,8	14/01/2013	102	2
8933	23,83	4,3	14/01/2013	229	2
8946	20,86	3,9	14/01/2013	141	3
3216			14/01/2013		
3129	29,13	5,5	14/01/2013	79	2
4977			14/01/2013		
3129	27,29	5,2	15/01/2013	80	2
8936	25,71	5,9	15/01/2013	114	3
3133	24,56	5,4	15/01/2013	103	2
8970	35,02	7,2	15/01/2013	58	2
5004			15/01/2013		
17			15/01/2013		
8932	18,32	2,6	15/01/2013	401	2
3166	18,45	2,3	15/01/2013	256	1
3505			15/01/2013		
3517			15/01/2013		
3230			15/01/2013		
4994	13,66	4,5	15/01/2013	11	1
3138	18,84	4,4	15/01/2013	72	2
3514			15/01/2013		
4990			15/01/2013		
3507			15/01/2013		
14			15/01/2013		
8959	30,68	4,9	15/01/2013	127	2
3495			15/01/2013		
3532			15/01/2013		
7			15/01/2013		
8949	33,28	6,6	15/01/2013	114	3
8941	0,35	1,8	15/01/2013	175	2
3216			15/01/2013		
1			15/01/2013		
8933	32,64	6,1	15/01/2013	230	2
3504			15/01/2013		
9			15/01/2013		
4965	24,75	4,4	15/01/2013	51	1
3537			15/01/2013		
3227			15/01/2013		
4971	18,60	2,9	15/01/2013	81	1
8946	14,10	2,4	15/01/2013	142	3
4978	25,44	5,1	15/01/2013	73	1
3500			15/01/2013		
3524			15/01/2013		
4997			15/01/2013		
3536			15/01/2013		
3140	14,91	2,1	15/01/2013	465	1
4977			15/01/2013		
3509			15/01/2013		
3541			15/01/2013		
3514			16/01/2013		
3505			16/01/2013		
8936	29,22	6,7	16/01/2013	115	3
3227			16/01/2013		
3536			16/01/2013		
3541			16/01/2013		
8946	27,95	4,5	16/01/2013	143	3
4977			16/01/2013		
3507			16/01/2013		
9			16/01/2013		
3504			16/01/2013		
4997			16/01/2013		
4978	26,53	5,2	16/01/2013	74	1
3140	14,41	2,3	16/01/2013	466	1
7			16/01/2013		
8932	17,07	2,6	16/01/2013	402	2
5004			16/01/2013		
8949	26,94	5,8	16/01/2013	115	3
8941	0,88	6,4	16/01/2013	176	2
3129	25,26	5,0	16/01/2013	81	2
3230			16/01/2013		
3133	22,56	5,0	16/01/2013	104	2
3216			16/01/2013		
3500			16/01/2013		
8959	25,62	3,9	16/01/2013	128	2
4994	21,70	5,5	16/01/2013	12	1
3524			16/01/2013		
4990			16/01/2013		
1			16/01/2013		
3495			16/01/2013		
8970	9,81	2,4	16/01/2013	59	2
3138	27,31	5,1	16/01/2013	73	2
8933	27,04	5,0	16/01/2013	231	2
3509			16/01/2013		
17			16/01/2013		
3166	17,63	2,2	16/01/2013	257	1
3517			16/01/2013		
3532			16/01/2013		
3537			16/01/2013		
4971	17,82	3,3	16/01/2013	82	1
4965	26,12	5,2	16/01/2013	52	1
14			16/01/2013		
3500			17/01/2013		
8932	14,37	2,1	17/01/2013	403	2
4978	24,50	4,8	17/01/2013	75	1
3495			17/01/2013		
3524			17/01/2013		
8959	27,27	4,1	17/01/2013	129	2
3509			17/01/2013		
3514			17/01/2013		
3230			17/01/2013		
4990			17/01/2013		
17			17/01/2013		
7			17/01/2013		
3140	15,55	2,4	17/01/2013	467	1
3166	23,37	3,0	17/01/2013	258	1
4994	22,49	5,8	17/01/2013	13	1
8970	11,30	7,8	17/01/2013	60	2
9			17/01/2013		
1			17/01/2013		
4977			17/01/2013		
3216			17/01/2013		
4997			17/01/2013		
3532			17/01/2013		
3536			17/01/2013		
4965	21,85	4,4	17/01/2013	53	1
3504			17/01/2013		
8936	23,06	5,7	17/01/2013	116	3
3517			17/01/2013		
3133	15,09	3,3	17/01/2013	105	2
3129	26,63	5,0	17/01/2013	82	2
8946	24,70	4,3	17/01/2013	144	3
8933	22,88	4,2	17/01/2013	232	2
8949	24,97	5,2	17/01/2013	116	3
3541			17/01/2013		
8941	5,74	6,3	17/01/2013	177	2
3505			17/01/2013		
3138	31,57	5,5	17/01/2013	74	2
4971	18,30	2,5	17/01/2013	83	1
3227			17/01/2013		
5004			17/01/2013		
14			17/01/2013		
3507			17/01/2013		
3537			17/01/2013		
3541			18/01/2013		
4977			18/01/2013		
14			18/01/2013		
5004			18/01/2013		
3505			18/01/2013		
4965	29,25	6,1	18/01/2013	54	1
8932	20,86	2,9	18/01/2013	404	2
8946	24,61	4,5	18/01/2013	145	3
4990			18/01/2013		
4978	21,73	4,8	18/01/2013	76	1
3133	27,27	6,0	18/01/2013	106	2
3517			18/01/2013		
3230			18/01/2013		
3216			18/01/2013		
4994	15,31	4,0	18/01/2013	14	1
3509			18/01/2013		
8941	11,80	6,6	18/01/2013	178	2
3227			18/01/2013		
8959	16,31	2,8	18/01/2013	130	2
3129	26,48	5,2	18/01/2013	83	2
8949	32,36	7,3	18/01/2013	117	3
3536			18/01/2013		
8970	15,67	5,2	18/01/2013	61	2
3532			18/01/2013		
3500			18/01/2013		
3166	14,06	1,9	18/01/2013	259	1
1			18/01/2013		
4997			18/01/2013		
3138	23,14	4,2	18/01/2013	75	2
9			18/01/2013		
3507			18/01/2013		
3537			18/01/2013		
3504			18/01/2013		
8936	22,50	5,4	18/01/2013	117	3
8933	25,67	5,3	18/01/2013	233	2
3514			18/01/2013		
3140	18,05	2,7	18/01/2013	468	1
7			18/01/2013		
3524			18/01/2013		
4971	21,22	3,4	18/01/2013	84	1
3495			18/01/2013		
17			18/01/2013		
3495			19/01/2013		
7			19/01/2013		
8959	24,83	3,9	19/01/2013	131	2
3504			19/01/2013		
9			19/01/2013		
5004			19/01/2013		
4971	15,82	2,8	19/01/2013	85	1
8970	20,43	5,5	19/01/2013	62	2
8932	17,99	2,6	19/01/2013	405	2
3536			19/01/2013		
4994	16,59	4,5	19/01/2013	15	1
3230			19/01/2013		
4978	17,50	3,8	19/01/2013	77	1
4990			19/01/2013		
3133	15,96	3,6	19/01/2013	107	2
4965	22,82	5,0	19/01/2013	55	1
3507			19/01/2013		
3216			19/01/2013		
14			19/01/2013		
3505			19/01/2013		
8946	12,00	2,4	19/01/2013	146	3
3541			19/01/2013		
3537			19/01/2013		
3524			19/01/2013		
8941	13,77	5,1	19/01/2013	179	2
3517			19/01/2013		
3129	24,45	5,1	19/01/2013	84	2
8949	16,90	2,9	19/01/2013	118	3
8936	26,52	6,5	19/01/2013	118	3
4997			19/01/2013		
3227			19/01/2013		
8933	22,86	5,1	19/01/2013	234	2
1			19/01/2013		
3532			19/01/2013		
3509			19/01/2013		
3514			19/01/2013		
4977			19/01/2013		
17			19/01/2013		
3166	15,25	2,3	19/01/2013	260	1
3140	16,10	2,5	19/01/2013	469	1
3138	22,26	4,4	19/01/2013	76	2
3500			19/01/2013		
3227			20/01/2013		
3500			20/01/2013		
8936	25,01	6,1	20/01/2013	119	3
3505			20/01/2013		
8933	25,37	5,4	20/01/2013	235	2
4978	23,61	4,9	20/01/2013	78	1
3507			20/01/2013		
3541			20/01/2013		
5004			20/01/2013		
4971	18,69	3,2	20/01/2013	86	1
14			20/01/2013		
3536			20/01/2013		
3216			20/01/2013		
8941	15,82	4,7	20/01/2013	180	2
4997			20/01/2013		
8946	22,67	3,8	20/01/2013	147	3
9			20/01/2013		
3129	22,17	4,7	20/01/2013	85	2
3138	25,94	4,9	20/01/2013	77	2
3537			20/01/2013		
3517			20/01/2013		
4994	22,66	6,0	20/01/2013	16	1
3504			20/01/2013		
3495			20/01/2013		
7			20/01/2013		
3133	28,10	6,0	20/01/2013	108	2
3509			20/01/2013		
8970	26,10	6,7	20/01/2013	63	2
17			20/01/2013		
4965	18,98	3,8	20/01/2013	56	1
8949	35,47	7,4	20/01/2013	119	3
4990			20/01/2013		
3230			20/01/2013		
3524			20/01/2013		
3532			20/01/2013		
3140	20,40	3,1	20/01/2013	470	1
3166	16,98	3,3	20/01/2013	261	1
3514			20/01/2013		
1			20/01/2013		
8959	26,02	4,1	20/01/2013	132	2
4977			20/01/2013		
8932	17,67	2,5	20/01/2013	406	2
3536			21/01/2013		
8936	27,00	6,1	21/01/2013	120	3
3505			21/01/2013		
8932	15,95	2,3	21/01/2013	407	2
4965	29,28	5,6	21/01/2013	57	1
5004			21/01/2013		
3495			21/01/2013		
3532			21/01/2013		
3133	13,07	3,0	21/01/2013	109	2
3517			21/01/2013		
3216			21/01/2013		
4971	17,97	2,9	21/01/2013	87	1
7			21/01/2013		
8941	16,36	4,8	21/01/2013	181	2
3504			21/01/2013		
3166	25,25	2,4	21/01/2013	262	1
8970	29,37	6,0	21/01/2013	64	2
4990			21/01/2013		
3500			21/01/2013		
3230			21/01/2013		
4997			21/01/2013		
3537			21/01/2013		
14			21/01/2013		
3541			21/01/2013		
3138	20,85	5,7	21/01/2013	78	2
3227			21/01/2013		
1			21/01/2013		
8959	21,81	3,6	21/01/2013	133	2
3507			21/01/2013		
8933	21,22	4,5	21/01/2013	236	2
3140	10,36	1,7	21/01/2013	471	1
4978	22,03	4,7	21/01/2013	79	1
4977			21/01/2013		
9			21/01/2013		
3524			21/01/2013		
3514			21/01/2013		
3129	23,83	5,0	21/01/2013	86	2
17			21/01/2013		
8946	27,70	5,3	21/01/2013	148	3
3509			21/01/2013		
8949	26,79	5,0	21/01/2013	120	3
4994	15,88	4,1	21/01/2013	17	1
3505			22/01/2013		
3537			22/01/2013		
3133	27,47	5,4	22/01/2013	110	2
3227			22/01/2013		
7			22/01/2013		
3504			22/01/2013		
4971	16,78	2,8	22/01/2013	88	1
8936	26,08	5,9	22/01/2013	121	3
8941	14,44	5,3	22/01/2013	182	2
3140	14,65	2,4	22/01/2013	472	1
3138	25,73	4,9	22/01/2013	79	2
3524			22/01/2013		
8949	25,42	7,0	22/01/2013	121	3
14			22/01/2013		
9			22/01/2013		
3514			22/01/2013		
3507			22/01/2013		
3216			22/01/2013		
3500			22/01/2013		
3532			22/01/2013		
3536			22/01/2013		
8970	21,23	4,5	22/01/2013	65	2
17			22/01/2013		
8959	34,36	5,2	22/01/2013	134	2
3129	24,18	5,3	22/01/2013	87	2
5004			22/01/2013		
3495			22/01/2013		
3509			22/01/2013		
